name,grade,location,date,comment,video
Früher Vogel fängt den Wurm,6b?6c+,"Super Crack, Galtür",2025-08,sit version,
Wini Tatsch,6a+,"Super Crack, Galtür",2025-08,,
"b, B3",6a,"Schuh des Manitu, Galtür",2025-08,,
"g, B1",6b,"Schuh des Manitu, Galtür",2025-08,,
Kobra,6a+,"Sekten, Galtür",2025-08,flash,
"c, B16",6a+,"Sekten, Galtür",2025-08,,
"Rot, B14",4a,"Sekten, Galtür",2025-08,,
"Schwarz, B14",5b,"Sekten, Galtür",2025-08,,
Proc Neemigrovat,6B,Bor,2025-05,,
Vlevo od skoky pipen,6B (6A),Bor,2025-05,,
Fatality,5+,Bor,2025-05,Flash,
Čaroděj,6A+,Bor,2025-05,,
Zpoďáčky,6A,Bor,2025-05,,
Mémoire Courte,3+,Apremont Désert,2024-11,,
L'Anticat,4,Apremont Désert,2024-11,,
La Lame,3,Apremont Désert,2024-11,,/images/font5/lalame.mp4
Jour de Foule,4-,Apremont Désert,2024-11,,
Le Hollandais Sans Peine,3,Apremont Désert,2024-11,,
L'Équilibre,4,Apremont Désert,2024-11,,
Le Petit Pouce,3,Apremont Désert,2024-11,,
L'Angle,3,Apremont Désert,2024-11,,
La Dalle,3,Apremont Désert,2024-11,,
Sonnets Posthumes,5-,Rocher Canon,2024-11,,
Irrespirable,6c,Apremont Désert,2024-11,,/images/font5/irrespirable.mp4
"Blocco 46, C",6a,"Nudole, Daone",2024-09,,/images/daone2/nudole46c.mp4
"Blocco 28, A",5c,"Nudole, Daone",2024-09,,/images/daone2/nudole28a.mp4
"Blocco 18, C",6a+,"Nudole, Daone",2024-09,,/images/daone2/nudole18c.mp4
"Blocco 15, A",6b,"Dos dei Aser, Daone",2024-09,,/images/daone2/aser15a.mp4
"Blocco 9, A",6a+,"Dos dei Aser, Daone",2024-07,,/images/daone/aser9a_l.mp4
"Blocco 15, B",6a+,"Dos dei Aser, Daone",2024-07,,/images/daone/aser15b_l.mp4
"Blocco 6, A",6a,"La Plana, Daone",2024-07,,/images/daone/plana6a.mp4
"Blocco 2, N",5c,"La Plana, Daone",2024-07,,/images/daone/plana2n.mp4
"Blocco 2, E",5b,"La Plana, Daone",2024-07,flash,/images/daone/plana2e.mp4
Calentamiento,6a,"El Poris, Tenerife",2024-01,,
Ups,6c,"El Poris, Tenerife",2024-01,,/images/tenerife/boulder.mp4
Charlie,6b+,"El Poris, Tenerife",2024-01,,
Bordwand,6a,Blankenburg,2023-07,,/images/harz/bordwand.mp4
Untergang,5c,Blankenburg,2023-08,,
Le Télégramme,4,Canche aux Merciers,2023-05,,
La Route des Vins,3+,Canche aux Merciers,2023-05,,
Jeanne d'Arc,3-,Canche aux Merciers,2023-05,,
L'Évidente,3-,Canche aux Merciers,2023-05,,
Schattenseite,6a+,Bodenstein,2023-04,,/images/harz/schattenseite.mp4
Transylvania,5+,Roche aux Oiseaux,2023-04,,/images/font3/transylvania.mp4
Sophie,6b,Roche aux Oiseaux,2023-04,,/images/font3/sophie.mp4
L'Arpenteur du Restant,6b,Restant du Long Rocher Sud,2022-10,,/images/font2/larpenteurdurestant.mp4
Bloc-Notes,5,Aprement Ouest,2022-10,,
Hot,6a,95.2 Ouest,2022-10,,/images/font2/hot.mp4
Le Sucre,5-,Aprement Ouest,2022-10,,
La Dalle à Phil,5+,Aprement Ouest,2022-10,,
Retour d'Âge,5-,Aprement Ouest,2022-10,,
Dérapage,4,Aprement Ouest,2022-10,,
L'Implusion,5+,Restant du Long Rocher,2022-10,,
L'Hétéroclite,4+,Restant du Long Rocher,2022-10,,
L'Hercule,5-,Restant du Long Rocher,2022-10,,
Juressic Parc,6b,Magic Wood,2022-08,,/images/magicwood/juressicparc.mp4
Schimmelplatte,6b,Magic Wood,2022-08,,
Beach easy,5,Magic Wood,2022-08,flash,
Eckstein,5,Magic Wood,2022-08,,
Mänteli,5,Magic Wood,2022-08,,
Tauchgang,6a,Wiesental,2022-08,,
Kontrastkante,6a,Bodenstein,2022-07,flash,/images/harz/kontrastkante.mp4
Luv,5c,Wiesental,2022-06,,
Lee,5c,Wiesental,2022-06,,
Planke,5b,Wiesental,2022-06,,
Schwarzes Loch,6a,Bodenstein,2022-05,,
Spreewaldbanane,6b+,Wiesental,2022-05,,/images/wiesental/spreewaldbanane.mp4
Breakdance,6c,Bodenstein,2022-04,,/images/harz/breakdance.mp4
Großraumdisco,6a,Bodenstein,2022-04,,
La Zip Zut (direct),6b,Franchard Isatis,2022-04,,
Crocodile,6a,Franchard Isatis,2022-04,,/images/font/crocodile.mp4
L'Antigel,5-,Franchard Isatis,2022-04,,
Le Coup de Chaud (assis),5+,Franchard Isatis,2022-04,,
