name,grade,location,date,comment,video
O.N.,VII-,"Linker Sektor, Wiesbadener Hütte, Galtür",2025-08,flash,
O.N.,VII-,"Rechter Sektor, Wiesbadener Hütte, Galtür",2025-08,flash,
O.N.,VI,"Rechter Sektor, Wiesbadener Hütte, Galtür",2025-08,flash,
O.N.,VI,"Rechter Sektor, Wiesbadener Hütte, Galtür",2025-08,flash,
O.N.,V+,"Rechter Sektor, Wiesbadener Hütte, Galtür",2025-08,flash,
Fliegender Heini unten,V+,"Kreuzwand, Maltatal",2025-07,onsight,
35 O.N.,VI-,"Kreuzwand, Maltatal",2025-07,onsight,
34 O.N.,VI,"Kreuzwand, Maltatal",2025-07,onsight,
Vogeln erlaubt,VI,"Vogelwand, Baden",2025-04,onsight,
Maget,VII-,"Lomasone, Daone",2024-09,"flash, HG",
Stella Nascente,VII-,"Vela, Daone",2024-09,,
Inzi,VI/VI+,"Vela, Daone",2024-09,onsight,
Spatzenhirn,V+,"Vogelwandl, Baden",2024-06,onsight,
El contrato del zapatero,VII-/VII,"Tenerifa, Arico",2024-02,,
Los hombres grises,V,"Tenerifa, Arico",2024-02,,
Butterfly,V,"Frankenjura, Steinfelder Wändchen",2023-07,,
Bel Air,V,Maria Spring,2021-09,onsight,
Stier,III,Breitenberg Südwand,2026-03,Redpoint,
Siebenschläfer,VI-,Breitenberg Südwand,2026-03,Redpoint,
Neigsabbt,VI-,Breitenberg Südwand,2026-03,Redpoint,
Löwe,IV,Breitenberg Südwand,2026-03,Redpoint,
Mistral,VII-,Föhrenstein & Föhrensteinturm - Föhrenstein,2026-03,Redpoint,
