"route_boulder","name","location_name","sector_name","area_name","country_code","date","type","sub_type","rating","project","tries","repeats","difficulty","perceived_hardness","comment","height","recommended","sits"
"ROUTE","Lobo","Sierra de Toix","Lejano Oeste / Far Oeste",,"ES","2026-02-03T12:00:00Z","rp",,"4","0","0","null","6a",,"","null","0","null"
"ROUTE","Energico","Sierra de Toix","Lejano Oeste / Far Oeste",,"ES","2026-02-03T12:00:00Z","rp",,"4","0","0","null","6a+",,"","null","0","null"
"ROUTE","El endo","Sierra de Toix","Lejano Oeste / Far Oeste",,"ES","2026-02-09T12:00:00Z","rp",,"0","0","0","null","4a",,"","null","0","null"
"ROUTE","Pequeno Gecko","Sierra de Toix","Lejano Oeste / Far Oeste",,"ES","2026-02-09T12:00:00Z","os",,"0","0","1","null","5b",,"","null","0","null"
"ROUTE","Grand Grill","Sierra de Toix","Lejano Oeste / Far Oeste",,"ES","2026-02-09T12:00:00Z","rp",,"0","0","0","null","5c",,"","null","0","null"
"ROUTE","Primavera Sin Fin","Sella","Competición",,"ES","2026-02-11T12:00:00Z","rp",,"0","0","0","null","6a+",,"","null","0","null"
"ROUTE","Desbloquea que No","Sella","Competición",,"ES","2026-02-11T12:00:00Z","rp",,"0","0","0","null","5b",,"","null","0","null"
"ROUTE","La roja seis","Sierra de Toix","Lejano Oeste / Far Oeste",,"ES","2026-03-03T12:00:00Z","rp",,"0","0","0","null","5c",,"","null","0","null"
"ROUTE","Lachmöwe","Schiffsbug","Schiffsbug",,"DE","2026-03-22T12:00:00Z","rp","","null","0","null","null","6-",,,"21","0","null"
"ROUTE","Neigsabbt","Breitenberg Südwand","Breitenberg Südwand",,"DE","2026-03-23T12:00:00Z","rp",,"null","0","0","null","6-",,,"15","0","null"
"ROUTE","Löwe","Breitenberg Südwand","Breitenberg Südwand",,"DE","2026-03-23T12:00:00Z","rp",,"null","0","0","null","4",,,"15","0","null"
"ROUTE","Stier","Breitenberg Südwand","Breitenberg Südwand",,"DE","2026-03-23T12:00:00Z","rp",,"null","0","0","null","3",,,"15","0","null"
"ROUTE","Siebenschläfer","Breitenberg Südwand","Breitenberg Südwand",,"DE","2026-03-23T12:00:00Z","rp",,"null","0","0","null","6-",,,"15","0","null"
"ROUTE","Mistral","Föhrenstein & Föhrensteinturm","Föhrenstein",,"DE","2026-03-24T12:00:00Z","rp",,"null","0","0","null","7-",,,"15","0","null"
"ROUTE","Lausbubenverschneidung","Lausbubenwände","Obere Lausbubenwand",,"AT","2026-04-03T12:00:00Z","os",,"5","0","1","null","5a",,"","null","0","null"
