name,grade,location,date,comment,video
Früher Vogel fängt den Wurm,6b?6c+,"Super Crack, Galtür",2025-08,sit version,
Wini Tatsch,6a+,"Super Crack, Galtür",2025-08,,
Austrian summer,6b+,"Super Crack, Galtür",2025-08,bailed,
"g, B1",6b,"Schuh des Manitu, Galtür",2025-08,,
Kobra,6a+,"Sekten, Galtür",2025-08,,
"c, B16",6a+,"Sekten, Galtür",2025-08,,
"Schwarz, B14",5b,"Sekten, Galtür",2025-08,,
River Gifts,6A,Tal der Könige,2025-05,,
Proc Neemigrovat,6B,Bor,2025-05,,
Scottie Pipen,6C+,Bor,2025-05,,
Skoky Pipen,6C+,Bor,2025-05,,
Odveta,6A,Bor,2025-05,,
Zpoďáčky,6A,Bor,2025-05,,
Mémoire Courte,3+,Apremont Désert,2024-11,,
L'Anticat,4,Apremont Désert,2024-11,,
La Lame,3,Apremont Désert,2024-11,,
Jour de Foule,4-,Apremont Désert,2024-11,,
Le Hollandais Sans Peine,3,Apremont Désert,2024-11,,
L'Équilibre,4,Apremont Désert,2024-11,,
Le Petit Pouce,3,Apremont Désert,2024-11,,
L'Angle,3,Apremont Désert,2024-11,,
La Dalle,3,Apremont Désert,2024-11,,
Malicia,6b,Apremont Désert,2024-11,,
Des Vertes et des pas Mûres,6c+/7a,Apremont Désert,2024-11,,/images/font5/mures.mp4
Sonnets Posthumes,5-,Rocher Canon,2024-11,,
La Proue Ombragée (assis),6b,Rocher Canon,2024-11,,
Irrespirable,6c,Apremont Désert,2024-11,,
"Blocco 46, C",6a,"Nudole, Daone",2024-09,,
"Blocco 24, E",6b+,"Nudole, Daone",2024-09,,/images/daone2/nudole24e.mp4
"Blocco 18, F (Figus)",6a+,"Nudole, Daone",2024-09,flash,
"Blocco 18, D",6a,"Nudole, Daone",2024-09,flash,
"Blocco 18, C",6a+,"Nudole, Daone",2024-09,,
"Blocco 9, A",6a+,"Dos dei Aser, Daone",2024-07,,/images/daone/aser9a_p.mp4
"Blocco 17, C",6b+,"Dos dei Aser, Daone",2024-07,flash,
"Blocco 14, N",6b,"Dos dei Aser, Daone",2024-07,,/images/daone/aser14n.mp4
"Blocco 15, A",6b,"Dos dei Aser, Daone",2024-07,flash,/images/daone/aser15a.mp4
"Blocco 15, B",6a+,"Dos dei Aser, Daone",2024-07,,/images/daone/aser15b_p.mp4
